SGD,0.1,1176.1180028915405,2.5630577000000003,0.41356347156769024
SGD,0.01,1220.054737329483,2.9882877,0.17130564416992589
SGD,0.005,1300.4774913787842,3.0543408,0.20193808492622045
SGD,0.001,1182.1882257461548,1.0,1.7237083831598528
SGD,0.0005,1100.8028557300568,1.0000007,1.1688905312485338
SGD,0.0001,1181.476012468338,1.0000476999999999,0.9218845594208516
SGD,1e-05,1369.228857755661,1.0000374,1.0648752329663516
"SGD, β = 0.9",0.1,1049.122498512268,1.1568725,1.3850007331988756
"SGD, β = 0.9",0.01,1334.716498374939,1.0,1.2116161674850219
"SGD, β = 0.9",0.005,1179.1270072460175,1.0,1.20618011896643
"SGD, β = 0.9",0.001,860.1900601387024,2.7844912999999996,0.3126951489718353
"SGD, β = 0.9",0.0005,1372.6074063777926,2.9007678,0.3515451217633045
"SGD, β = 0.9",0.0001,818.0140523910522,2.2658327000000003,0.6072747789916146
"SGD, β = 0.9",1e-05,1249.8384582996366,1.0000392,0.926873161082672
"SGD, β = 0.99",0.1,1277.5586035251615,nan,1.2116161674850219
"SGD, β = 0.99",0.01,1287.0301625728607,1.0,1.193843074642173
"SGD, β = 0.99",0.005,1250.3463187217712,1.0,1.256319909001086
"SGD, β = 0.99",0.001,817.772542476654,1.0,1.1760822064815843
"SGD, β = 0.99",0.0005,1258.9586985111234,1.0,1.2382470472636953
"SGD, β = 0.99",0.0001,816.5518410205841,1.0,1.2587823350931928
"SGD, β = 0.99",1e-05,1281.3997402191162,1.7037175,1.0307778044510172
AdaGrad,0.1,1288.6998226642606,1.0,1.0959325795340804
AdaGrad,0.01,1170.1603281497955,3.5522182,0.12455264039728947
AdaGrad,0.005,1408.4791395664215,3.3105202000000005,0.19427828336886427
AdaGrad,0.001,1150.1048328876495,2.2567150000000002,0.7149109209343262
AdaGrad,0.0005,1331.8498475551605,1.0,1.1951544023378542
AdaGrad,0.0001,1162.923436164856,1.0000457,1.2529301259931875
AdaGrad,1e-05,1279.9258999824526,1.000033,1.0590869275702453
RMSProp,0.1,1275.5371181964874,1.0,1.21087849706095
RMSProp,0.01,1278.874738931656,2.1374299999999997,0.6843069952804496
RMSProp,0.005,1377.754175901413,1.0,1.2259513734584873
RMSProp,0.001,1098.8970096111298,3.485379,0.05718066143924225
RMSProp,0.0005,1310.3534512519834,3.754322,0.29881330890412283
RMSProp,0.0001,1243.3363199234007,3.2442474,0.09711365720131934
RMSProp,1e-05,1367.8774180412292,2.6036212000000005,0.4851948214828304
Adam,0.1,1207.1843774318695,1.0,1.1688628145701938
Adam,0.01,1161.465897321701,1.0,1.0806830317637108
Adam,0.005,1330.5708737373352,1.0,1.1256592139596524
Adam,0.001,1243.5540001392365,1.1413018999999998,0.988782384666033
Adam,0.0005,1256.3440322875974,2.2878022000000002,0.4557113227184024
Adam,0.0001,1253.3307962417605,3.6793942000000004,0.1431209566925946
Adam,1e-05,1359.1720399856567,2.4503706000000003,0.18020937893774874
